2023-04-17 17:13:44,625 - lr:0.01,weight_decay:0.01,batch_size:20
2023-04-17 17:13:44,625 - CNN(
  (conv1): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (relu): ReLU(inplace=True)
  (conv2): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (conv3): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (gmp): MaxPool1d(kernel_size=1, stride=1, padding=0, dilation=1, ceil_mode=False)
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (fc1): Linear(in_features=36, out_features=64, bias=True)
  (fc2): Linear(in_features=64, out_features=2, bias=True)
)
2023-04-17 17:13:59,400 - Epoch:26/100,Train Accuracy:50.37313461303711%
2023-04-17 17:13:59,514 - Epoch:27/100,Train Accuracy:49.70149230957031%
2023-04-17 17:13:59,626 - Epoch:28/100,Train Accuracy:49.62686538696289%
2023-04-17 17:13:59,738 - Epoch:29/100,Train Accuracy:49.776119232177734%
2023-04-17 17:13:59,852 - Epoch:30/100,Train Accuracy:50.597015380859375%
2023-04-17 17:13:59,964 - Epoch:31/100,Train Accuracy:49.850746154785156%
2023-04-17 17:14:00,078 - Epoch:32/100,Train Accuracy:50.149253845214844%
2023-04-17 17:14:00,191 - Epoch:33/100,Train Accuracy:50.89552307128906%
2023-04-17 17:14:00,305 - Epoch:34/100,Train Accuracy:50.597015380859375%
2023-04-17 17:14:00,418 - Epoch:35/100,Train Accuracy:50.6716423034668%
2023-04-17 17:14:00,532 - Epoch:36/100,Train Accuracy:48.88059616088867%
2023-04-17 17:14:00,646 - Epoch:37/100,Train Accuracy:51.26865768432617%
2023-04-17 17:14:00,759 - Epoch:38/100,Train Accuracy:49.402984619140625%
2023-04-17 17:14:00,874 - Epoch:39/100,Train Accuracy:51.49253845214844%
2023-04-17 17:14:01,000 - Epoch:40/100,Train Accuracy:51.49253845214844%
2023-04-17 17:14:01,111 - Epoch:41/100,Train Accuracy:50.223880767822266%
2023-04-17 17:14:01,224 - Epoch:42/100,Train Accuracy:49.70149230957031%
2023-04-17 17:14:01,338 - Epoch:43/100,Train Accuracy:50.44776153564453%
2023-04-17 17:14:01,450 - Epoch:44/100,Train Accuracy:50.29850769042969%
2023-04-17 17:14:01,563 - Epoch:45/100,Train Accuracy:47.46268844604492%
2023-04-17 17:14:01,675 - Epoch:46/100,Train Accuracy:48.73134231567383%
2023-04-17 17:14:01,787 - Epoch:47/100,Train Accuracy:50.0%
