2023-04-05 22:14:10,524 - lr:0.001,weight_decay:0.01,batch_size:20
2023-04-05 22:14:10,524 - Multi_Scale_CNN(
  (conv1): Conv1d(20, 20, kernel_size=(1,), stride=(1,))
  (conv2): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (conv3): Conv1d(20, 20, kernel_size=(3,), stride=(1,))
  (conv4): Conv1d(20, 20, kernel_size=(4,), stride=(1,))
  (fc1): Linear(in_features=150, out_features=1000, bias=True)
  (fc2): Linear(in_features=1000, out_features=2, bias=True)
)
2023-04-05 22:15:09,639 - Epoch:35/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:09,901 - Epoch:36/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:10,164 - Epoch:37/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:10,424 - Epoch:38/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:10,686 - Epoch:39/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:10,948 - Epoch:40/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:11,212 - Epoch:41/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:11,474 - Epoch:42/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:11,737 - Epoch:43/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:12,000 - Epoch:44/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:12,261 - Epoch:45/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:12,523 - Epoch:46/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:12,784 - Epoch:47/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:13,045 - Epoch:48/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:13,307 - Epoch:49/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:13,542 - 
Test set: Avg. loss: 0.0685, Accuracy: 319/660 (48.33%)

2023-04-05 22:15:13,545 - fpr:[0. 1.],tpr:[0. 1.],threshold:[1 0],auc:0.5
2023-04-05 22:15:13,545 - This is for user20
2023-04-05 22:15:14,018 - Epoch:0/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:14,278 - Epoch:1/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:14,534 - Epoch:2/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:14,792 - Epoch:3/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:15,050 - Epoch:4/50,Train Accuracy:50.82089614868164%
