2023-04-05 21:56:23,729 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-04-05 21:56:23,729 - Multi_Scale_CNN(
  (conv1): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (conv2): Conv1d(20, 20, kernel_size=(3,), stride=(1,))
  (conv3): Conv1d(20, 20, kernel_size=(4,), stride=(1,))
  (fc1): Linear(in_features=111, out_features=1000, bias=True)
  (fc2): Linear(in_features=1000, out_features=2, bias=True)
)
2023-04-05 21:56:48,397 - Epoch:165/200,Train Accuracy:51.49253845214844%
2023-04-05 21:56:48,532 - Epoch:166/200,Train Accuracy:48.88059616088867%
2023-04-05 21:56:48,678 - Epoch:167/200,Train Accuracy:51.94029998779297%
2023-04-05 21:56:48,825 - Epoch:168/200,Train Accuracy:52.6119384765625%
2023-04-05 21:56:48,970 - Epoch:169/200,Train Accuracy:50.44776153564453%
2023-04-05 21:56:49,118 - Epoch:170/200,Train Accuracy:50.149253845214844%
2023-04-05 21:56:49,268 - Epoch:171/200,Train Accuracy:53.582088470458984%
2023-04-05 21:56:49,415 - Epoch:172/200,Train Accuracy:52.46268844604492%
2023-04-05 21:56:49,586 - Epoch:173/200,Train Accuracy:47.3880615234375%
2023-04-05 21:56:49,738 - Epoch:174/200,Train Accuracy:51.044776916503906%
2023-04-05 21:56:49,884 - Epoch:175/200,Train Accuracy:51.044776916503906%
2023-04-05 21:56:50,031 - Epoch:176/200,Train Accuracy:49.92537307739258%
2023-04-05 21:56:50,178 - Epoch:177/200,Train Accuracy:52.01492691040039%
2023-04-05 21:56:50,325 - Epoch:178/200,Train Accuracy:50.29850769042969%
2023-04-05 21:56:50,472 - Epoch:179/200,Train Accuracy:50.89552307128906%
2023-04-05 21:56:50,619 - Epoch:180/200,Train Accuracy:51.417911529541016%
2023-04-05 21:56:50,775 - Epoch:181/200,Train Accuracy:51.86567306518555%
2023-04-05 21:56:50,921 - Epoch:182/200,Train Accuracy:50.6716423034668%
2023-04-05 21:56:51,073 - Epoch:183/200,Train Accuracy:52.91044616699219%
2023-04-05 21:56:51,217 - Epoch:184/200,Train Accuracy:50.89552307128906%
2023-04-05 21:56:51,361 - Epoch:185/200,Train Accuracy:52.6119384765625%
2023-04-05 21:56:51,509 - Epoch:186/200,Train Accuracy:51.56716537475586%
2023-04-05 21:56:51,654 - Epoch:187/200,Train Accuracy:48.208953857421875%
2023-04-05 21:56:51,806 - Epoch:188/200,Train Accuracy:52.01492691040039%
2023-04-05 21:56:51,954 - Epoch:189/200,Train Accuracy:50.74626922607422%
2023-04-05 21:56:52,118 - Epoch:190/200,Train Accuracy:50.29850769042969%
2023-04-05 21:56:52,279 - Epoch:191/200,Train Accuracy:51.86567306518555%
2023-04-05 21:56:52,440 - Epoch:192/200,Train Accuracy:49.62686538696289%
2023-04-05 21:56:52,602 - Epoch:193/200,Train Accuracy:48.656715393066406%
2023-04-05 21:56:52,760 - Epoch:194/200,Train Accuracy:49.62686538696289%
2023-04-05 21:56:52,922 - Epoch:195/200,Train Accuracy:49.10447692871094%
2023-04-05 21:56:53,081 - Epoch:196/200,Train Accuracy:51.86567306518555%
2023-04-05 21:56:53,246 - Epoch:197/200,Train Accuracy:51.56716537475586%
2023-04-05 21:56:53,403 - Epoch:198/200,Train Accuracy:50.597015380859375%
2023-04-05 21:56:53,568 - Epoch:199/200,Train Accuracy:52.46268844604492%
2023-04-05 21:56:53,828 - 
Test set: Avg. loss: 1734.6962, Accuracy: 308/660 (46.67%)

2023-04-05 21:56:53,832 - fpr:[0.        0.5862069 1.       ],tpr:[0.         0.51612903 1.        ],threshold:[2 1 0],auc:0.4649610678531702
2023-04-05 21:56:53,833 - This is for user9
2023-04-05 21:56:54,224 - Epoch:0/200,Train Accuracy:46.49253845214844%
2023-04-05 21:56:54,385 - Epoch:1/200,Train Accuracy:49.55223846435547%
2023-04-05 21:56:54,543 - Epoch:2/200,Train Accuracy:52.3880615234375%
2023-04-05 21:56:54,701 - Epoch:3/200,Train Accuracy:50.223880767822266%
2023-04-05 21:56:54,862 - Epoch:4/200,Train Accuracy:50.223880767822266%
2023-04-05 21:56:55,021 - Epoch:5/200,Train Accuracy:49.55223846435547%
2023-04-05 21:56:55,178 - Epoch:6/200,Train Accuracy:47.01492691040039%
2023-04-05 21:56:55,344 - Epoch:7/200,Train Accuracy:51.417911529541016%
2023-04-05 21:56:55,496 - Epoch:8/200,Train Accuracy:52.08955383300781%
2023-04-05 21:56:55,650 - Epoch:9/200,Train Accuracy:50.07462692260742%
2023-04-05 21:56:55,804 - Epoch:10/200,Train Accuracy:47.53731155395508%
2023-04-05 21:56:55,963 - Epoch:11/200,Train Accuracy:48.2835807800293%
2023-04-05 21:56:56,116 - Epoch:12/200,Train Accuracy:50.6716423034668%
2023-04-05 21:56:56,270 - Epoch:13/200,Train Accuracy:50.597015380859375%
2023-04-05 21:56:56,429 - Epoch:14/200,Train Accuracy:48.73134231567383%
2023-04-05 21:56:56,585 - Epoch:15/200,Train Accuracy:49.47761154174805%
2023-04-05 21:56:56,742 - Epoch:16/200,Train Accuracy:50.44776153564453%
2023-04-05 21:56:56,901 - Epoch:17/200,Train Accuracy:49.92537307739258%
2023-04-05 21:56:57,061 - Epoch:18/200,Train Accuracy:49.47761154174805%
2023-04-05 21:56:57,221 - Epoch:19/200,Train Accuracy:50.597015380859375%
2023-04-05 21:56:57,379 - Epoch:20/200,Train Accuracy:49.55223846435547%
2023-04-05 21:56:57,538 - Epoch:21/200,Train Accuracy:52.835819244384766%
2023-04-05 21:56:57,697 - Epoch:22/200,Train Accuracy:52.31343460083008%
2023-04-05 21:56:57,853 - Epoch:23/200,Train Accuracy:48.582088470458984%
2023-04-05 21:56:58,016 - Epoch:24/200,Train Accuracy:53.50746154785156%
2023-04-05 21:56:58,172 - Epoch:25/200,Train Accuracy:50.149253845214844%
2023-04-05 21:56:58,335 - Epoch:26/200,Train Accuracy:50.89552307128906%
2023-04-05 21:56:58,492 - Epoch:27/200,Train Accuracy:53.582088470458984%
2023-04-05 21:56:58,657 - Epoch:28/200,Train Accuracy:49.3283576965332%
2023-04-05 21:56:58,813 - Epoch:29/200,Train Accuracy:51.26865768432617%
2023-04-05 21:56:58,980 - Epoch:30/200,Train Accuracy:52.08955383300781%
2023-04-05 21:56:59,137 - Epoch:31/200,Train Accuracy:51.11940383911133%
2023-04-05 21:56:59,299 - Epoch:32/200,Train Accuracy:51.56716537475586%
2023-04-05 21:56:59,457 - Epoch:33/200,Train Accuracy:50.0%
2023-04-05 21:56:59,617 - Epoch:34/200,Train Accuracy:52.08955383300781%
2023-04-05 21:56:59,776 - Epoch:35/200,Train Accuracy:51.56716537475586%
2023-04-05 21:56:59,935 - Epoch:36/200,Train Accuracy:51.26865768432617%
2023-04-05 21:57:00,097 - Epoch:37/200,Train Accuracy:50.74626922607422%
2023-04-05 21:57:00,256 - Epoch:38/200,Train Accuracy:50.52238845825195%
2023-04-05 21:57:00,421 - Epoch:39/200,Train Accuracy:46.64179229736328%
2023-04-05 21:57:00,578 - Epoch:40/200,Train Accuracy:51.11940383911133%
