2023-04-20 21:52:34,926 - lr:1e-05,weight_decay:0.01,batch_size:40
2023-04-20 21:52:34,926 - CZHNet(
  (linear1): Linear(in_features=33, out_features=256, bias=True)
  (linear2): Linear(in_features=256, out_features=256, bias=True)
  (linear3): Linear(in_features=256, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=64, bias=True)
  (linear6): Linear(in_features=64, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=40, bias=True)
  (linear8): Linear(in_features=40, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-20 22:09:55,671 - Epoch:2/100,Train Accuracy:50.0%
2023-04-20 22:10:00,312 - Epoch:3/100,Train Accuracy:50.0%
2023-04-20 22:10:05,102 - Epoch:4/100,Train Accuracy:50.0%
2023-04-20 22:10:09,868 - Epoch:5/100,Train Accuracy:50.0%
2023-04-20 22:10:14,556 - Epoch:6/100,Train Accuracy:50.0%
2023-04-20 22:10:19,323 - Epoch:7/100,Train Accuracy:50.0%
2023-04-20 22:10:24,107 - Epoch:8/100,Train Accuracy:50.0%
2023-04-20 22:10:28,888 - Epoch:9/100,Train Accuracy:50.0%
2023-04-20 22:10:33,658 - Epoch:10/100,Train Accuracy:50.0%
2023-04-20 22:10:38,450 - Epoch:11/100,Train Accuracy:50.0%
2023-04-20 22:10:43,211 - Epoch:12/100,Train Accuracy:50.0%
2023-04-20 22:10:47,887 - Epoch:13/100,Train Accuracy:50.0%
2023-04-20 22:10:52,591 - Epoch:14/100,Train Accuracy:50.0%
2023-04-20 22:10:57,337 - Epoch:15/100,Train Accuracy:50.0%
2023-04-20 22:11:02,389 - Epoch:16/100,Train Accuracy:50.0%
2023-04-20 22:11:07,180 - Epoch:17/100,Train Accuracy:50.0%
2023-04-20 22:11:11,810 - Epoch:18/100,Train Accuracy:50.0%
2023-04-20 22:11:16,430 - Epoch:19/100,Train Accuracy:50.0%
2023-04-20 22:11:21,221 - Epoch:20/100,Train Accuracy:50.0%
2023-04-20 22:11:26,003 - Epoch:21/100,Train Accuracy:50.0%
2023-04-20 22:11:30,777 - Epoch:22/100,Train Accuracy:50.0%
2023-04-20 22:11:35,560 - Epoch:23/100,Train Accuracy:50.0%
2023-04-20 22:11:40,343 - Epoch:24/100,Train Accuracy:50.0%
2023-04-20 22:11:45,119 - Epoch:25/100,Train Accuracy:50.0%
2023-04-20 22:11:49,884 - Epoch:26/100,Train Accuracy:50.0%
2023-04-20 22:11:54,671 - Epoch:27/100,Train Accuracy:50.0%
2023-04-20 22:11:59,442 - Epoch:28/100,Train Accuracy:50.0%
2023-04-20 22:12:04,214 - Epoch:29/100,Train Accuracy:50.0%
2023-04-20 22:12:08,974 - Epoch:30/100,Train Accuracy:50.0%
2023-04-20 22:12:13,742 - Epoch:31/100,Train Accuracy:50.0%
2023-04-20 22:12:18,505 - Epoch:32/100,Train Accuracy:50.0%
2023-04-20 22:12:23,272 - Epoch:33/100,Train Accuracy:50.0%
2023-04-20 22:12:28,045 - Epoch:34/100,Train Accuracy:50.0%
2023-04-20 22:12:32,834 - Epoch:35/100,Train Accuracy:50.0%
2023-04-20 22:12:37,607 - Epoch:36/100,Train Accuracy:50.0%
2023-04-20 22:12:42,404 - Epoch:37/100,Train Accuracy:50.0%
2023-04-20 22:12:47,180 - Epoch:38/100,Train Accuracy:50.0%
2023-04-20 22:12:51,959 - Epoch:39/100,Train Accuracy:50.0%
2023-04-20 22:12:56,731 - Epoch:40/100,Train Accuracy:50.0%
2023-04-20 22:13:01,542 - Epoch:41/100,Train Accuracy:50.0%
2023-04-20 22:13:06,328 - Epoch:42/100,Train Accuracy:50.0%
2023-04-20 22:13:11,109 - Epoch:43/100,Train Accuracy:50.0%
2023-04-20 22:13:15,965 - Epoch:44/100,Train Accuracy:50.0%
2023-04-20 22:13:20,778 - Epoch:45/100,Train Accuracy:50.0%
2023-04-20 22:13:25,555 - Epoch:46/100,Train Accuracy:50.0%
2023-04-20 22:13:30,306 - Epoch:47/100,Train Accuracy:50.0%
2023-04-20 22:13:35,071 - Epoch:48/100,Train Accuracy:50.0%
2023-04-20 22:13:39,893 - Epoch:49/100,Train Accuracy:50.0%
2023-04-20 22:13:44,767 - Epoch:50/100,Train Accuracy:50.0%
2023-04-20 22:13:49,552 - Epoch:51/100,Train Accuracy:50.0%
2023-04-20 22:13:54,321 - Epoch:52/100,Train Accuracy:50.0%
2023-04-20 22:13:59,087 - Epoch:53/100,Train Accuracy:50.0%
2023-04-20 22:14:03,877 - Epoch:54/100,Train Accuracy:50.0%
2023-04-20 22:14:08,667 - Epoch:55/100,Train Accuracy:50.0%
2023-04-20 22:14:13,420 - Epoch:56/100,Train Accuracy:50.0%
2023-04-20 22:14:18,188 - Epoch:57/100,Train Accuracy:50.0%
2023-04-20 22:14:22,941 - Epoch:58/100,Train Accuracy:50.0%
2023-04-20 22:14:27,705 - Epoch:59/100,Train Accuracy:50.0%
2023-04-20 22:14:32,459 - Epoch:60/100,Train Accuracy:50.0%
2023-04-20 22:14:37,265 - Epoch:61/100,Train Accuracy:50.0%
2023-04-20 22:14:42,057 - Epoch:62/100,Train Accuracy:50.0%
2023-04-20 22:14:46,847 - Epoch:63/100,Train Accuracy:50.0%
2023-04-20 22:14:51,638 - Epoch:64/100,Train Accuracy:50.0%
2023-04-20 22:14:56,426 - Epoch:65/100,Train Accuracy:50.0%
2023-04-20 22:15:01,232 - Epoch:66/100,Train Accuracy:50.0%
2023-04-20 22:15:06,022 - Epoch:67/100,Train Accuracy:50.0%
2023-04-20 22:15:10,805 - Epoch:68/100,Train Accuracy:50.0%
2023-04-20 22:15:15,645 - Epoch:69/100,Train Accuracy:50.0%
2023-04-20 22:15:20,421 - Epoch:70/100,Train Accuracy:50.0%
2023-04-20 22:15:25,185 - Epoch:71/100,Train Accuracy:50.0%
2023-04-20 22:15:29,976 - Epoch:72/100,Train Accuracy:50.0%
2023-04-20 22:15:34,789 - Epoch:73/100,Train Accuracy:50.0%
2023-04-20 22:15:39,572 - Epoch:74/100,Train Accuracy:50.0%
2023-04-20 22:15:44,430 - Epoch:75/100,Train Accuracy:50.0%
2023-04-20 22:15:49,214 - Epoch:76/100,Train Accuracy:50.0%
2023-04-20 22:15:53,835 - Epoch:77/100,Train Accuracy:50.0%
2023-04-20 22:15:58,445 - Epoch:78/100,Train Accuracy:50.0%
2023-04-20 22:16:03,130 - Epoch:79/100,Train Accuracy:50.0%
2023-04-20 22:16:07,988 - Epoch:80/100,Train Accuracy:50.0%
2023-04-20 22:16:12,670 - Epoch:81/100,Train Accuracy:50.0%
2023-04-20 22:16:17,458 - Epoch:82/100,Train Accuracy:50.0%
2023-04-20 22:16:22,212 - Epoch:83/100,Train Accuracy:50.0%
2023-04-20 22:16:26,982 - Epoch:84/100,Train Accuracy:50.0%
2023-04-20 22:16:31,748 - Epoch:85/100,Train Accuracy:50.0%
2023-04-20 22:16:36,524 - Epoch:86/100,Train Accuracy:50.0%
2023-04-20 22:16:41,297 - Epoch:87/100,Train Accuracy:50.0%
2023-04-20 22:16:46,068 - Epoch:88/100,Train Accuracy:50.0%
2023-04-20 22:16:50,853 - Epoch:89/100,Train Accuracy:50.0%
2023-04-20 22:16:55,641 - Epoch:90/100,Train Accuracy:50.0%
2023-04-20 22:17:00,429 - Epoch:91/100,Train Accuracy:50.0%
2023-04-20 22:17:05,241 - Epoch:92/100,Train Accuracy:50.0%
2023-04-20 22:17:10,020 - Epoch:93/100,Train Accuracy:50.0%
2023-04-20 22:17:14,790 - Epoch:94/100,Train Accuracy:50.0%
2023-04-20 22:17:19,568 - Epoch:95/100,Train Accuracy:50.0%
2023-04-20 22:17:24,319 - Epoch:96/100,Train Accuracy:50.0%
2023-04-20 22:17:29,092 - Epoch:97/100,Train Accuracy:50.0%
2023-04-20 22:17:33,866 - Epoch:98/100,Train Accuracy:50.0%
2023-04-20 22:17:38,630 - Epoch:99/100,Train Accuracy:50.0%
2023-04-20 22:17:47,506 - 
Test set: Avg. loss: 0.0174, Accuracy: 6902/13804 (50.00%)

2023-04-20 22:17:47,515 - fpr:[0. 1.],tpr:[0. 1.],threshold:[1 0],auc:0.5
2023-04-20 22:17:47,515 - This is for user3
2023-04-20 22:18:02,744 - Epoch:0/100,Train Accuracy:50.0%
2023-04-20 22:18:09,538 - Epoch:1/100,Train Accuracy:50.0%
2023-04-20 22:18:16,265 - Epoch:2/100,Train Accuracy:50.0%
2023-04-20 22:18:22,996 - Epoch:3/100,Train Accuracy:50.0%
