2023-04-21 15:03:52,122 - lr:0.001,weight_decay:0.01,batch_size:64
2023-04-21 15:03:52,122 - CZHNet(
  (linear1): Linear(in_features=33, out_features=32, bias=True)
  (linear2): Linear(in_features=32, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=64, bias=True)
  (linear4): Linear(in_features=64, out_features=32, bias=True)
  (linear5): Linear(in_features=64, out_features=64, bias=True)
  (linear6): Linear(in_features=64, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=32, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-21 15:03:52,122 - This is for user0
2023-04-21 15:10:24,179 - fpr:[0.         0.38211714 1.        ],tpr:[0.         0.52860443 1.        ],threshold:[2 1 0],auc:0.5732436472346787
2023-04-21 15:10:24,179 - This is for user2
2023-04-21 15:10:34,530 - Epoch:0/100,Train Accuracy:52.73998260498047%
2023-04-21 15:10:36,308 - Epoch:1/100,Train Accuracy:55.227760314941406%
2023-04-21 15:10:38,084 - Epoch:2/100,Train Accuracy:56.54170608520508%
2023-04-21 15:10:39,848 - Epoch:3/100,Train Accuracy:57.11149978637695%
2023-04-21 15:10:41,612 - Epoch:4/100,Train Accuracy:57.49447250366211%
2023-04-21 15:10:43,369 - Epoch:5/100,Train Accuracy:57.90858459472656%
2023-04-21 15:10:45,130 - Epoch:6/100,Train Accuracy:58.51573944091797%
2023-04-21 15:10:46,899 - Epoch:7/100,Train Accuracy:58.648067474365234%
2023-04-21 15:10:48,671 - Epoch:8/100,Train Accuracy:59.40934753417969%
2023-04-21 15:10:50,433 - Epoch:9/100,Train Accuracy:59.87327575683594%
2023-04-21 15:10:52,197 - Epoch:10/100,Train Accuracy:60.13793182373047%
2023-04-21 15:10:53,970 - Epoch:11/100,Train Accuracy:60.87118911743164%
2023-04-21 15:10:55,728 - Epoch:12/100,Train Accuracy:61.19500732421875%
2023-04-21 15:10:57,500 - Epoch:13/100,Train Accuracy:61.5951042175293%
2023-04-21 15:10:59,254 - Epoch:14/100,Train Accuracy:61.755455017089844%
2023-04-21 15:11:01,016 - Epoch:15/100,Train Accuracy:61.769466400146484%
2023-04-21 15:11:02,810 - Epoch:16/100,Train Accuracy:62.4295539855957%
2023-04-21 15:11:04,565 - Epoch:17/100,Train Accuracy:62.493385314941406%
2023-04-21 15:11:06,319 - Epoch:18/100,Train Accuracy:63.00090408325195%
2023-04-21 15:11:08,072 - Epoch:19/100,Train Accuracy:62.99623107910156%
2023-04-21 15:11:09,857 - Epoch:20/100,Train Accuracy:63.18616485595703%
2023-04-21 15:11:11,659 - Epoch:21/100,Train Accuracy:63.66721725463867%
2023-04-21 15:11:13,424 - Epoch:22/100,Train Accuracy:63.85247802734375%
2023-04-21 15:11:15,188 - Epoch:23/100,Train Accuracy:63.84157943725586%
2023-04-21 15:11:16,938 - Epoch:24/100,Train Accuracy:64.0626449584961%
