2023-04-19 11:44:13,291 - lr:0.0001,weight_decay:0.01,batch_size:40
2023-04-19 11:44:13,291 - FullConnect(
  (linear1): Linear(in_features=33, out_features=256, bias=True)
  (linear2): Linear(in_features=256, out_features=256, bias=True)
  (linear3): Linear(in_features=256, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=64, bias=True)
  (linear6): Linear(in_features=64, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=40, bias=True)
  (linear8): Linear(in_features=40, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-19 11:44:13,292 - This is for user0
2023-04-19 12:07:06,507 - Epoch:95/100,Train Accuracy:59.0589485168457%
2023-04-19 12:07:15,061 - Epoch:96/100,Train Accuracy:58.44621658325195%
2023-04-19 12:07:35,960 - Epoch:97/100,Train Accuracy:58.36155319213867%
2023-04-19 12:07:44,075 - Epoch:98/100,Train Accuracy:58.77769470214844%
2023-04-19 12:07:52,538 - Epoch:99/100,Train Accuracy:57.121742248535156%
2023-04-19 12:08:02,437 - 
Test set: Avg. loss: -0.0136, Accuracy: 8030/14718 (54.56%)

2023-04-19 12:08:02,446 - fpr:[0.        0.7207501 1.       ],tpr:[0.         0.81193097 1.        ],threshold:[2 1 0],auc:0.5455904334828101
2023-04-19 12:08:02,446 - This is for user2
2023-04-19 12:08:19,440 - Epoch:0/100,Train Accuracy:48.77012252807617%
2023-04-19 12:08:27,748 - Epoch:1/100,Train Accuracy:49.318119049072266%
2023-04-19 12:08:36,110 - Epoch:2/100,Train Accuracy:49.58433151245117%
2023-04-19 12:08:44,314 - Epoch:3/100,Train Accuracy:49.97820281982422%
2023-04-19 12:08:52,644 - Epoch:4/100,Train Accuracy:50.0%
2023-04-19 12:09:00,980 - Epoch:5/100,Train Accuracy:50.0%
2023-04-19 12:09:09,344 - Epoch:6/100,Train Accuracy:50.0%
2023-04-19 12:09:17,740 - Epoch:7/100,Train Accuracy:50.0%
2023-04-19 12:09:26,134 - Epoch:8/100,Train Accuracy:50.0%
2023-04-19 12:09:34,871 - Epoch:9/100,Train Accuracy:50.0%
2023-04-19 12:09:44,880 - Epoch:10/100,Train Accuracy:50.0%
2023-04-19 12:09:53,855 - Epoch:11/100,Train Accuracy:50.0%
2023-04-19 12:10:02,597 - Epoch:12/100,Train Accuracy:50.0%
2023-04-19 12:10:11,281 - Epoch:13/100,Train Accuracy:50.0%
2023-04-19 12:10:19,639 - Epoch:14/100,Train Accuracy:50.0%
2023-04-19 12:10:28,431 - Epoch:15/100,Train Accuracy:50.0%
2023-04-19 12:10:37,074 - Epoch:16/100,Train Accuracy:50.0%
2023-04-19 12:10:45,652 - Epoch:17/100,Train Accuracy:50.0%
2023-04-19 12:10:55,358 - Epoch:18/100,Train Accuracy:50.0%
2023-04-19 12:11:03,869 - Epoch:19/100,Train Accuracy:50.0%
2023-04-19 12:11:12,381 - Epoch:20/100,Train Accuracy:50.0%
2023-04-19 12:11:21,258 - Epoch:21/100,Train Accuracy:50.0%
2023-04-19 12:11:30,571 - Epoch:22/100,Train Accuracy:50.0%
