2023-04-19 11:19:26,877 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-04-19 11:19:26,877 - LSTMModel(
  (input_layer): Linear(in_features=39, out_features=128, bias=True)
  (lstm_layers): LSTM(128, 128, num_layers=3, batch_first=True)
  (dropout_layer): Dropout(p=0.5, inplace=False)
  (bn_layer): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc_layer): Linear(in_features=128, out_features=64, bias=True)
  (softmax_layer): Linear(in_features=64, out_features=2, bias=True)
  (softmax): Softmax(dim=1)
)
2023-04-19 11:19:26,877 - This is for user7
2023-04-19 11:21:45,924 - Epoch:123/200,Train Accuracy:69.10447692871094%
2023-04-19 11:21:47,032 - Epoch:124/200,Train Accuracy:68.7313461303711%
2023-04-19 11:21:48,174 - Epoch:125/200,Train Accuracy:68.9552230834961%
2023-04-19 11:21:49,287 - Epoch:126/200,Train Accuracy:68.58209228515625%
2023-04-19 11:21:50,414 - Epoch:127/200,Train Accuracy:68.6567153930664%
2023-04-19 11:21:51,527 - Epoch:128/200,Train Accuracy:68.20895385742188%
2023-04-19 11:21:52,646 - Epoch:129/200,Train Accuracy:54.47761154174805%
2023-04-19 11:21:53,762 - Epoch:130/200,Train Accuracy:61.19403076171875%
2023-04-19 11:21:54,890 - Epoch:131/200,Train Accuracy:65.74626922607422%
2023-04-19 11:21:56,011 - Epoch:132/200,Train Accuracy:66.11940002441406%
2023-04-19 11:21:57,128 - Epoch:133/200,Train Accuracy:65.82089233398438%
2023-04-19 11:21:58,247 - Epoch:134/200,Train Accuracy:65.0%
2023-04-19 11:21:59,379 - Epoch:135/200,Train Accuracy:66.0447769165039%
2023-04-19 11:22:00,535 - Epoch:136/200,Train Accuracy:66.3432846069336%
2023-04-19 11:22:01,669 - Epoch:137/200,Train Accuracy:66.94029998779297%
2023-04-19 11:22:02,807 - Epoch:138/200,Train Accuracy:66.79104614257812%
2023-04-19 11:22:03,940 - Epoch:139/200,Train Accuracy:67.46268463134766%
2023-04-19 11:22:05,057 - Epoch:140/200,Train Accuracy:67.91044616699219%
2023-04-19 11:22:06,179 - Epoch:141/200,Train Accuracy:67.91044616699219%
2023-04-19 11:22:07,306 - Epoch:142/200,Train Accuracy:67.98507690429688%
2023-04-19 11:22:08,419 - Epoch:143/200,Train Accuracy:68.9552230834961%
2023-04-19 11:22:09,536 - Epoch:144/200,Train Accuracy:67.98507690429688%
2023-04-19 11:22:10,685 - Epoch:145/200,Train Accuracy:68.20895385742188%
2023-04-19 11:22:11,822 - Epoch:146/200,Train Accuracy:67.46268463134766%
2023-04-19 11:22:12,948 - Epoch:147/200,Train Accuracy:68.20895385742188%
2023-04-19 11:22:14,070 - Epoch:148/200,Train Accuracy:68.50746154785156%
2023-04-19 11:22:15,193 - Epoch:149/200,Train Accuracy:67.91044616699219%
2023-04-19 11:22:16,326 - Epoch:150/200,Train Accuracy:66.79104614257812%
2023-04-19 11:22:17,449 - Epoch:151/200,Train Accuracy:67.46268463134766%
2023-04-19 11:22:18,569 - Epoch:152/200,Train Accuracy:68.13433074951172%
2023-04-19 11:22:19,684 - Epoch:153/200,Train Accuracy:67.68656921386719%
2023-04-19 11:22:20,815 - Epoch:154/200,Train Accuracy:68.13433074951172%
2023-04-19 11:22:21,934 - Epoch:155/200,Train Accuracy:68.20895385742188%
2023-04-19 11:22:23,062 - Epoch:156/200,Train Accuracy:67.83582305908203%
2023-04-19 11:22:24,189 - Epoch:157/200,Train Accuracy:68.28358459472656%
2023-04-19 11:22:25,352 - Epoch:158/200,Train Accuracy:68.28358459472656%
2023-04-19 11:22:26,486 - Epoch:159/200,Train Accuracy:68.35820770263672%
2023-04-19 11:22:27,618 - Epoch:160/200,Train Accuracy:68.58209228515625%
2023-04-19 11:22:28,753 - Epoch:161/200,Train Accuracy:68.35820770263672%
2023-04-19 11:22:29,904 - Epoch:162/200,Train Accuracy:68.50746154785156%
2023-04-19 11:22:31,067 - Epoch:163/200,Train Accuracy:68.35820770263672%
2023-04-19 11:22:32,233 - Epoch:164/200,Train Accuracy:68.20895385742188%
2023-04-19 11:22:33,402 - Epoch:165/200,Train Accuracy:68.35820770263672%
2023-04-19 11:22:34,542 - Epoch:166/200,Train Accuracy:68.13433074951172%
2023-04-19 11:22:35,685 - Epoch:167/200,Train Accuracy:68.20895385742188%
2023-04-19 11:22:36,840 - Epoch:168/200,Train Accuracy:68.20895385742188%
2023-04-19 11:22:38,017 - Epoch:169/200,Train Accuracy:68.35820770263672%
2023-04-19 11:22:39,174 - Epoch:170/200,Train Accuracy:68.50746154785156%
2023-04-19 11:22:40,344 - Epoch:171/200,Train Accuracy:68.50746154785156%
2023-04-19 11:22:41,548 - Epoch:172/200,Train Accuracy:68.28358459472656%
2023-04-19 11:22:42,750 - Epoch:173/200,Train Accuracy:68.28358459472656%
2023-04-19 11:22:43,946 - Epoch:174/200,Train Accuracy:68.4328384399414%
2023-04-19 11:22:45,149 - Epoch:175/200,Train Accuracy:68.58209228515625%
2023-04-19 11:22:46,337 - Epoch:176/200,Train Accuracy:68.4328384399414%
2023-04-19 11:22:47,523 - Epoch:177/200,Train Accuracy:68.58209228515625%
2023-04-19 11:22:48,711 - Epoch:178/200,Train Accuracy:68.28358459472656%
2023-04-19 11:22:49,915 - Epoch:179/200,Train Accuracy:68.50746154785156%
