2023-04-19 16:18:36,706 - lr:0.001,weight_decay:1e-06,batch_size:20
2023-04-19 16:18:36,707 - LSTM_RNN(
  (lstm): LSTM(39, 256, num_layers=3, batch_first=True, dropout=0.5)
  (batch_norm): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (lin): Linear(in_features=256, out_features=64, bias=True)
  (lin2): Linear(in_features=64, out_features=64, bias=True)
  (output_layer): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-19 16:23:49,472 - Epoch:148/200,Train Accuracy:69.40298461914062%
2023-04-19 16:23:51,605 - Epoch:149/200,Train Accuracy:71.94029998779297%
2023-04-19 16:23:53,745 - Epoch:150/200,Train Accuracy:72.3880615234375%
2023-04-19 16:23:55,844 - Epoch:151/200,Train Accuracy:69.10447692871094%
2023-04-19 16:23:57,957 - Epoch:152/200,Train Accuracy:69.02985382080078%
2023-04-19 16:24:00,099 - Epoch:153/200,Train Accuracy:69.55223846435547%
2023-04-19 16:24:02,246 - Epoch:154/200,Train Accuracy:70.67163848876953%
2023-04-19 16:24:04,386 - Epoch:155/200,Train Accuracy:69.40298461914062%
2023-04-19 16:24:06,475 - Epoch:156/200,Train Accuracy:71.19403076171875%
2023-04-19 16:24:08,598 - Epoch:157/200,Train Accuracy:71.3432846069336%
2023-04-19 16:24:10,688 - Epoch:158/200,Train Accuracy:71.11940002441406%
2023-04-19 16:24:12,806 - Epoch:159/200,Train Accuracy:72.6119384765625%
2023-04-19 16:24:14,901 - Epoch:160/200,Train Accuracy:70.67163848876953%
2023-04-19 16:24:16,993 - Epoch:161/200,Train Accuracy:70.67163848876953%
2023-04-19 16:24:19,112 - Epoch:162/200,Train Accuracy:69.85074615478516%
2023-04-19 16:24:21,208 - Epoch:163/200,Train Accuracy:69.40298461914062%
2023-04-19 16:24:23,348 - Epoch:164/200,Train Accuracy:69.02985382080078%
2023-04-19 16:24:25,453 - Epoch:165/200,Train Accuracy:68.9552230834961%
2023-04-19 16:24:27,556 - Epoch:166/200,Train Accuracy:70.37313079833984%
2023-04-19 16:24:29,653 - Epoch:167/200,Train Accuracy:69.32836151123047%
2023-04-19 16:24:31,765 - Epoch:168/200,Train Accuracy:68.50746154785156%
2023-04-19 16:24:33,865 - Epoch:169/200,Train Accuracy:69.55223846435547%
2023-04-19 16:24:35,979 - Epoch:170/200,Train Accuracy:68.50746154785156%
2023-04-19 16:24:38,087 - Epoch:171/200,Train Accuracy:70.07462310791016%
